dataset,k,dimension,trajectoryNumber,height,leafnode,radiusMean,radiusSD,fastest,,,,,,,,,,,,,,,slowest
Bigcross,10,50,1000000,1.6,1.5401,0.02196602,0.00755029,14,2,13,15,4,3,9,7,10,11,8,1,12,0,6,5
Bigcross,100,50,1000000,1.6,1.5401,0.02196602,0.00755029,14,7,10,9,8,12,3,2,4,11,1,6,13,0,15,5
Bigcross,1000,50,1000000,1.6,1.5401,0.02196602,0.00755029,14,10,7,9,12,8,2,11,1,4,13,6,15,0,3,5
conf,10,3,164860,1.75,1.4247,0.02446504,0.02002285,7,6,13,3,10,9,0,14,12,15,1,8,11,5,4,2
conf,100,3,164860,1.75,1.4247,0.02446504,0.02002285,10,9,14,8,6,12,13,7,2,3,0,15,4,11,1,5
conf,1000,3,164860,1.75,1.4247,0.02446504,0.02002285,10,14,9,7,8,6,13,12,0,2,15,11,4,1,3,5
conf,10,2,100,5,1.8,0.07622883,0.05891952,6,3,0,2,1,7,8,5,4,13,14,11,10,12,9,15
conf,100,2,100,5,1.8,0.07622883,0.05891952,6,3,13,0,5,8,7,9,10,2,4,1,12,14,11,15
conf,1000,2,100,5,1.8,0.07622883,0.05891952,6,7,8,10,3,9,14,15,5,0,13,2,4,1,12,11
conf,10,2,1000,2,1.56,0.0493486,0.04027191,14,10,9,11,12,6,3,5,8,0,2,7,1,4,13,15
conf,100,2,1000,2,1.56,0.0493486,0.04027191,14,7,9,8,6,2,3,10,13,4,0,11,15,12,1,5
conf,1000,2,1000,2,1.56,0.0493486,0.04027191,6,15,7,14,10,8,9,5,0,4,2,13,1,3,12,11
conf,10,2,10000,2,1.527,0.02664467,0.02773826,13,3,6,14,15,2,1,4,7,11,12,10,5,9,8,0
conf,100,2,10000,2,1.527,0.02664467,0.02773826,6,14,7,10,9,8,13,12,3,2,0,11,15,1,4,5
conf,1000,2,10000,2,1.527,0.02664467,0.02773826,6,14,7,9,10,8,2,13,0,4,12,1,15,11,5,3
conf,10,2,100000,1.6363636,1.4751,0.00942129,0.01120599,13,15,14,6,7,10,11,9,8,2,3,0,1,4,12,5
conf,100,2,100000,1.6363636,1.4751,0.00942129,0.01120599,14,7,10,6,9,13,8,12,2,15,3,0,11,4,1,5
conf,1000,2,100000,1.6363636,1.4751,0.00942129,0.01120599,14,7,10,9,6,8,12,13,2,0,4,11,1,15,3,5
covtype,10,2,1000,1.4,1.56,0.0421,0.0185,8,10,9,11,7,12,14,13,3,4,2,0,6,1,5,15
covtype,100,2,1000,1.4,1.56,0.0421,0.0185,6,3,14,7,8,9,5,2,10,12,0,13,4,15,1,11
covtype,1000,2,1000,1.4,1.56,0.0421,0.0185,14,15,10,6,5,13,9,3,0,8,7,11,12,2,4,1
